t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.000643,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.000908,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.002165,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.004241,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.006164,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.008211,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.010529,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.012235,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.014258,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.016199,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.018223,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.020168,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.022222,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.024170,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.026228,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.028176,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.030236,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.032183,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.034236,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.036184,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.038236,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.040184,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.042173,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.044266,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.046175,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.048232,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.050180,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.052236,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.054184,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.056236,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.058183,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.060236,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.062184,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.064236,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.066184,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.068236,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.070184,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.072236,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.074184,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.076247,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.078192,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.083474,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.083784,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.084196,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.086258,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.088207,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.090266,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.092216,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.094164,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.096221,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.098170,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.100227,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.102176,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.104236,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.106184,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.108241,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.110188,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.112241,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.114188,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.116243,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.118189,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.120243,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.122189,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.124243,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.126189,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.128243,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.130189,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.132243,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.134247,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.136222,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.138169,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.140222,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.142172,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.144276,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.146245,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.148236,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.150192,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.152247,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.154192,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.156247,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.158193,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.160260,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.162211,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.164160,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.166221,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
0.168212,18.4570,0.1758,0.1758,0,0,0.245090,2083987813
