t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode,t_pc_block_s,t_now_us
0.000000,8.6133,-56.9531,-56.9531,0,0,0.261486,126611688
0.000679,8.6133,-56.9531,-56.9531,0,0,0.261486,126611688
0.000940,8.6133,-56.9531,-56.9531,0,0,0.261486,126611688
0.002504,8.6133,-56.7773,-56.7773,0,0,0.261486,126611688
0.004449,8.6133,-56.7773,-56.7773,0,0,0.261486,126611688
0.006449,8.6133,-56.7773,-56.7773,0,0,0.261486,126611688
0.008461,8.6133,-56.6016,-56.6016,0,0,0.261486,126611688
0.010480,8.6133,-56.6016,-56.6016,0,0,0.261486,126611688
0.012526,8.6133,-56.6016,-56.6016,0,0,0.261486,126611688
0.014464,8.6133,-56.6016,-56.6016,0,0,0.261486,126611688
0.016509,8.6133,-56.6016,-56.6016,0,0,0.261486,126611688
0.018449,8.7891,-56.6016,-56.6016,0,0,0.261486,126611688
0.020494,8.7891,-56.4258,-56.4258,0,0,0.261486,126611688
0.022538,8.7891,-56.4258,-56.4258,0,0,0.261486,126611688
0.024474,8.7891,-56.4258,-56.4258,0,0,0.261486,126611688
0.026522,8.7891,-56.4258,-56.4258,0,0,0.261486,126611688
0.028461,8.7891,-56.4258,-56.4258,0,0,0.261486,126611688
0.030566,8.7891,-56.4258,-56.4258,0,0,0.261486,126611688
0.032509,8.7891,-56.4258,-56.4258,0,0,0.261486,126611688
0.034465,8.7891,-56.2500,-56.2500,0,0,0.261486,126611688
0.036518,8.7891,-56.2500,-56.2500,0,0,0.261486,126611688
0.038469,8.7891,-56.2500,-56.2500,0,0,0.261486,126611688
0.040482,8.7891,-56.2500,-56.2500,0,0,0.261486,126611688
0.042531,8.7891,-56.2500,-56.2500,0,0,0.261486,126611688
0.044469,8.7891,-56.2500,-56.2500,0,0,0.261486,126611688
0.046509,8.7891,-56.2500,-56.2500,0,0,0.261486,126611688
0.048501,8.7891,-56.2500,-56.2500,0,0,0.261486,126611688
0.050534,8.9648,-56.2500,-56.2500,0,0,0.261486,126611688
0.052482,8.9648,-56.2500,-56.2500,0,0,0.261486,126611688
0.054537,8.9648,-56.2500,-56.2500,0,0,0.261486,126611688
0.056485,8.9648,-56.2500,-56.2500,0,0,0.261486,126611688
0.058543,8.9648,-56.2500,-56.2500,0,0,0.261486,126611688
0.060491,8.9648,-56.2500,-56.2500,0,0,0.261486,126611688
0.062548,8.9648,-56.2500,-56.2500,0,0,0.261486,126611688
0.064495,8.9648,-56.2500,-56.2500,0,0,0.261486,126611688
0.066551,8.9648,-56.2500,-56.2500,0,0,0.261486,126611688
0.068499,8.9648,-56.2500,-56.2500,0,0,0.261486,126611688
0.070543,8.9648,-56.2500,-56.2500,0,0,0.261486,126611688
0.072477,8.9648,-56.2500,-56.2500,0,0,0.261486,126611688
0.077937,8.9648,-56.2500,-56.2500,0,0,0.261486,126611688
0.078278,8.9648,-56.2500,-56.2500,0,0,0.261486,126611688
0.078472,8.9648,-56.2500,-56.2500,0,0,0.261486,126611688
