t_s,mode,alpha_deg,theta_deg,hybrid_lqr,pwm
0.0,7,-143.965,8.174,0,3
0.0845,7,-143.965,8.877,0,18
0.1577,7,-144.316,9.053,0,12
0.2614,7,-145.723,9.053,0,6
0.3507,7,-146.953,9.053,0,2
0.4465,7,-146.777,9.053,0,5
0.5162,7,-145.898,9.053,0,11
0.5873,7,-144.668,9.053,0,13
0.6778,7,-144.141,9.053,0,15
0.748,7,-144.492,9.053,0,11
0.8193,7,-146.602,9.053,0,2
1.0053,7,-146.602,9.053,0,6
1.0947,7,-145.195,9.053,0,13
1.2073,7,-144.316,9.053,0,14
1.2971,7,-144.668,9.053,0,11
1.394,7,-145.547,9.229,0,9
1.4798,7,-146.426,9.229,0,3
1.5481,7,-146.602,9.229,0,5
1.6209,7,-146.074,9.229,0,8
1.7032,7,-145.195,9.229,0,13
1.77,7,-144.492,9.229,0,14
1.8408,7,-144.492,9.229,0,12
1.9246,7,-145.02,9.229,0,10
2.0004,7,-145.898,9.229,0,6
2.0817,7,-146.602,9.229,0,5
2.1827,7,-146.25,9.229,0,8
2.2526,7,-145.195,9.229,0,10
2.3422,7,-144.668,9.229,0,14
2.418,7,-144.668,9.229,0,12
2.5105,7,-145.195,9.229,0,9
2.5853,7,-146.074,9.229,0,7
2.6605,7,-146.426,9.229,0,4
2.7453,7,-146.074,9.229,0,8
2.8175,7,-145.547,9.229,0,9
2.8953,7,-145.02,9.229,0,11
2.9696,7,-144.668,9.229,0,12
3.0544,7,-145.195,9.229,0,9
3.1332,7,-145.723,9.229,0,7
3.213,7,-146.074,9.229,0,6
3.2798,7,-146.074,9.229,0,8
3.3795,7,-145.547,9.229,0,9
3.4623,7,-145.02,9.229,0,11
3.5432,7,-144.844,9.229,0,11
3.6189,7,-145.195,9.229,0,10
3.6947,7,-145.547,9.229,0,9
3.7625,7,-145.898,9.229,0,6
3.8335,7,-146.074,9.229,0,7
3.9034,7,-145.898,9.229,0,8
4.0031,7,-145.195,9.229,0,11
4.1021,7,-145.02,9.229,0,10
4.1906,7,-145.195,9.229,0,9
4.2703,7,-145.723,9.229,0,6
4.3601,7,-146.074,9.229,0,7
4.4479,7,-145.898,9.229,0,8
4.5339,7,-145.371,9.229,0,10
4.6401,7,-145.02,9.229,0,10
4.7159,7,-145.195,9.229,0,10
4.7957,7,-145.547,9.229,0,9
4.9763,7,-145.898,9.229,0,7
5.083,7,-145.723,9.229,0,8
5.1499,7,-145.371,9.229,0,10
5.2257,7,-145.195,9.229,0,10
5.2975,7,-145.195,9.229,0,10
5.3712,7,-145.371,9.229,0,9
5.4536,7,-145.723,9.229,0,8
5.5294,7,-145.898,9.229,0,7
5.6001,7,-145.723,9.229,0,7
5.6869,7,-145.371,9.229,0,9
5.7907,7,-145.195,9.229,0,10
5.8605,7,-145.195,9.229,0,10
5.9303,7,-145.371,9.229,0,9
6.0201,7,-145.723,9.229,0,8
6.0934,7,-145.898,9.229,0,8
6.1722,7,-145.723,9.229,0,9
6.2458,7,-145.547,9.229,0,9
6.3338,7,-145.195,9.229,0,9
6.4308,7,-145.195,9.229,0,10
6.5046,7,-145.371,9.229,0,9
6.5744,7,-145.547,9.229,0,8
6.6427,7,-145.723,9.229,0,8
6.7166,7,-145.723,9.229,0,8
6.7853,7,-145.547,9.229,0,9
6.8561,7,-145.371,9.229,0,10
6.9339,7,-145.371,9.229,0,9
7.0057,7,-145.371,9.229,0,9
7.0735,7,-145.371,9.229,0,9
7.15,7,-145.547,9.229,0,8
7.2207,7,-145.723,9.229,0,8
7.3155,7,-145.547,9.229,0,8
7.394,7,-145.547,9.229,0,9
7.4758,7,-145.371,9.404,0,10
7.5526,7,-145.371,9.404,0,10
7.6463,7,-145.371,9.404,0,10
7.7231,7,-145.547,9.404,0,9
7.7969,7,-145.547,9.404,0,9
7.8747,7,-145.547,9.404,0,9
7.9385,7,-145.547,9.404,0,9
8.0153,7,-145.547,9.404,0,9
8.1022,7,-145.371,9.404,0,10
8.175,7,-145.371,9.404,0,10
8.2483,7,-145.547,9.404,0,9
8.3156,7,-145.547,9.404,0,9
8.3982,7,-145.547,9.404,0,9
8.474,7,-145.547,9.404,0,9
8.5438,7,-145.547,9.404,0,9
8.6136,7,-145.547,9.404,0,9
8.6934,7,-145.547,9.404,0,9
8.7672,7,-145.547,9.404,0,9
8.8951,7,-145.547,9.404,0,9
9.0008,7,-145.547,9.404,0,9
9.0982,7,-145.547,9.404,0,9
9.1839,7,-145.547,9.404,0,9
9.253,7,-145.547,9.404,0,9
9.3267,7,-145.547,9.404,0,9
9.4028,7,-145.547,9.404,0,9
9.4726,7,-145.547,9.404,0,9
9.5455,7,-145.547,9.404,0,9
9.6142,7,-145.547,9.404,0,9
9.689,7,-145.547,9.404,0,9
9.7748,7,-145.547,9.404,0,9
9.8556,7,-145.547,9.404,0,9
9.9299,7,-145.547,9.404,0,9
10.0008,7,-145.547,9.404,0,9
10.0694,7,-145.547,9.404,0,9
10.1412,7,-145.547,9.404,0,9
10.2185,7,-145.547,9.404,0,9
10.2876,7,-145.547,9.404,0,9
10.3612,7,-145.547,9.404,0,9
10.4509,7,-145.547,9.404,0,9
10.5406,7,-145.547,9.404,0,9
10.6324,7,-145.547,9.404,0,9
10.7062,7,-145.547,9.404,0,9
10.78,7,-145.547,9.404,0,9
10.8807,7,-145.547,9.404,0,9
10.9525,7,-145.547,9.404,0,9
11.0597,7,-145.547,9.404,0,9
11.1396,7,-145.547,9.404,0,9
11.2173,7,-145.547,9.404,0,9
11.2892,7,-145.547,9.404,0,9
11.3905,7,-145.547,9.404,0,9
11.4613,7,-145.547,9.404,0,9
11.5641,7,-145.547,9.404,0,9
11.6404,7,-145.547,9.404,0,9
11.7172,7,-145.547,9.404,0,9
11.7842,7,-145.547,9.404,0,9
11.855,7,-145.547,9.404,0,9
