t_s,mode,alpha_deg,theta_deg,pwm,i_ma,lqr_alive_ms
0.0,5,113.203,3.955,-7,27.8,1335
0.0911,5,114.434,4.307,-6,27.5,1335
0.1785,5,114.258,5.361,0,26.0,1335
0.2706,5,113.379,6.768,5,26.0,1335
0.3381,5,113.203,7.646,1,27.1,1335
0.4098,5,114.082,8.35,-4,27.4,1335
0.4986,5,114.785,8.701,-6,27.4,1335
0.5774,5,114.609,9.404,0,26.8,1335
0.6522,5,113.906,10.283,5,26.8,1335
0.72,5,113.555,10.811,1,27.6,1335
0.8108,5,113.906,10.986,-3,27.0,1335
0.889,5,114.258,10.986,-3,27.5,1335
0.9674,5,114.434,10.986,0,27.5,1335
1.0541,5,114.082,11.162,3,27.0,1335
1.1338,5,113.73,11.162,0,27.3,1335
1.2193,5,113.555,11.162,0,27.0,1335
1.2955,5,113.73,11.162,0,27.3,1335
1.3679,5,113.906,11.162,-3,27.3,1335
1.4761,5,114.258,11.162,0,27.2,1335
1.5664,5,114.082,11.162,0,27.2,1335
1.6434,5,113.906,11.162,0,26.6,1335
1.725,5,113.73,11.162,3,27.4,1335
1.7948,5,113.73,11.162,0,27.4,1335
1.8646,5,113.73,11.162,0,27.4,1335
1.9314,5,113.906,11.162,-2,27.4,1335
2.0206,5,114.082,11.162,0,27.0,1335
2.0964,5,114.082,11.162,0,27.5,1335
2.1663,5,114.082,11.162,0,27.5,1335
2.2501,5,113.906,11.162,2,27.1,1335
2.3218,5,113.73,11.162,2,27.2,1335
2.3966,5,113.73,11.162,0,27.4,1335
2.4714,5,113.906,11.162,0,27.4,1335
2.5492,5,113.906,11.162,0,26.9,1335
2.632,5,114.082,11.162,0,27.8,1335
2.7002,5,114.082,11.162,0,27.4,1335
2.7889,5,113.906,11.162,0,27.3,1335
2.8656,5,113.906,11.162,0,27.3,1335
2.9355,5,113.906,11.162,0,27.1,1335
3.0142,5,113.906,11.162,0,27.2,1335
3.095,5,113.906,11.162,0,27.3,1335
3.1828,5,113.906,11.162,0,28.1,1335
3.2925,5,113.906,11.162,0,27.4,1335
3.3842,5,113.906,11.162,0,28.4,1335
3.468,5,113.906,11.162,0,28.4,1335
3.5498,5,113.906,11.162,0,22.7,1335
3.6346,5,113.906,11.162,0,27.0,1335
3.7019,5,113.906,11.162,0,27.4,1335
3.7797,5,113.906,11.162,0,27.4,1335
3.8655,5,113.906,11.162,0,23.5,1335
3.9373,5,113.906,11.162,0,27.0,1335
4.0091,5,113.906,11.162,0,27.2,1335
4.0839,5,113.906,11.162,0,27.2,1335
4.1647,5,113.906,11.162,0,26.5,1335
4.2545,5,113.906,11.162,0,27.5,1335
4.3452,5,113.906,11.162,0,27.5,1335
4.4131,5,113.906,11.162,0,27.3,1335
4.5018,5,113.906,11.162,0,27.4,1335
4.5727,5,113.906,11.338,0,27.4,1335
4.6584,5,113.906,11.338,0,27.4,1335
4.7392,5,113.906,11.338,0,27.4,1335
4.811,5,113.906,11.338,0,27.2,1335
4.8788,5,113.906,11.338,0,27.2,1335
4.9531,5,113.906,11.338,0,27.6,1335
5.0279,5,113.906,11.338,0,27.4,1335
5.1157,5,113.906,11.338,0,27.2,1335
5.2214,5,113.906,11.338,0,27.1,1335
5.2952,5,113.906,11.338,0,27.1,1335
5.366,5,113.906,11.338,0,26.4,1335
5.4369,5,113.906,11.338,0,27.6,1335
5.5156,5,113.906,11.338,0,27.5,1335
5.6014,5,113.906,11.338,0,27.5,1335
5.6692,5,113.906,11.514,0,27.3,1335
5.7625,5,113.906,11.514,0,27.6,1335
5.8484,5,113.906,11.514,0,24.5,1335
5.947,5,113.906,11.514,0,27.4,1335
6.0263,5,113.906,11.514,0,27.6,1335
6.0942,5,113.906,11.514,0,27.6,1335
6.175,5,113.906,11.514,0,26.9,1335
6.2488,5,113.906,11.514,0,27.3,1335
6.3156,5,113.906,11.514,0,27.1,1335
6.3794,5,113.906,11.514,0,27.1,1335
6.4472,5,113.906,11.514,0,27.7,1335
6.519,5,113.906,11.514,0,27.4,1335
6.5919,5,113.906,11.514,0,27.4,1335
6.6587,5,113.906,11.514,0,27.2,1335
6.7245,5,113.906,11.514,0,27.1,1335
6.8095,5,113.906,11.514,0,27.4,1335
6.912,5,113.906,11.514,0,27.7,1335
6.9958,5,113.906,11.514,0,27.7,1335
7.0666,5,113.906,11.514,0,27.0,1335
7.1449,5,113.906,11.514,0,27.6,1335
7.2177,5,113.906,11.514,0,27.5,1335
7.3164,5,113.906,11.514,0,27.2,1335
