t_s,servo_position_deg,servo_setpoint_deg,servo_error_deg,pend_position_deg,pend_setpoint_deg,pend_error_deg,pwm,current_ma,voltage_v,power_mw
1300.8045,1.0550,0.0000,-1.0550,2.9880,0.0000,-2.9880,0.0000,27.3000,14.9920,410.0000
1300.9717,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.3000,14.9880,410.0000
1301.1547,1.0550,0.0000,-1.0550,2.6370,0.0000,-2.6370,0.0000,26.9000,14.9960,404.0000
1301.3410,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,26.3000,14.9920,394.0000
1301.5323,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.3000,14.9920,410.0000
1301.7349,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.3000,14.9920,410.0000
1301.9113,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.2000,14.9920,406.0000
1302.1251,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.6000,14.9880,412.0000
1302.3256,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.1000,14.9920,406.0000
1302.4965,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,28.1000,14.9880,422.0000
1302.6849,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,24.7000,14.9720,370.0000
1302.8865,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.4000,14.9920,410.0000
1303.0415,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.4000,14.9960,410.0000
1303.2431,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.2000,14.9920,406.0000
1303.4306,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.3000,14.9920,410.0000
1303.6182,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.3000,14.9920,410.0000
1303.8283,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.6000,14.9880,412.0000
1303.9879,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.2000,14.9920,406.0000
1304.1724,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.1000,14.9920,406.0000
1304.3723,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,26.9000,14.9920,404.0000
1304.5516,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.0000,14.9920,406.0000
1304.7415,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.1000,14.9920,406.0000
1304.9153,1.0550,0.0000,-1.0550,2.8130,0.0000,-2.8130,0.0000,27.2000,14.9920,406.0000
